ID;PREC;FLEX;RESL;TEAM;PMAT;RELY;DATA;CPLX;RUSE;DOCU;TIME;STOR;PVOL;ACAP;PCAP;PCON;APEX;PLEX;LTEX;TOOL;SITE;SCED;LOC;AE
1;1.24;3.04;5.65;2.19;7.8;1;1;0.87;0.95;0.91;1.29;1.05;1;0.85;0.76;0.81;0.81;0.91;0.91;0.9;1.09;1;3000;1.2
2;1.24;3.04;5.65;1.1;7.8;1.1;1;0.87;1;0.91;1.29;1.05;1;0.85;0.88;0.81;0.81;0.85;0.84;0.9;1.22;1;2000;2
3;0;3.04;5.65;2.19;7.8;1.1;1.28;0.87;1;0.91;1.29;1.17;1;0.85;0.88;0.81;0.81;0.85;0.84;0.9;1.22;1;4250;4.5
4;0;2.03;1.41;2.19;4.68;1.1;1.14;1.34;0.95;1;1;1;1.15;0.85;0.88;1.29;0.88;0.85;0.91;1;0.93;1;10000;3
5;3.72;3.04;5.65;2.19;4.68;0.92;1;1.34;1;1.11;1.11;1;1;0.85;0.88;0.9;1;1;1;1;0.93;1.14;15000;4
6;1.24;4.05;0;0;3.12;0.92;0.9;1;0.95;0.81;1;1;0.87;0.71;0.76;0.9;1;0.91;0.91;1.17;0.8;1.14;40530;22
7;0;1.01;0;3.29;3.12;0.92;0.9;0.87;1;0.81;1;1;0.87;0.71;0.76;0.81;1;0.85;0.84;1.17;0.93;1.14;4050;2
8;3.72;5.07;1.41;3.29;6.24;0.92;1.28;0.73;1.07;1.23;1.29;1.17;0.87;1.19;0.88;0.81;1;1;1;1;0.86;1;31845;5
9;6.2;5.07;4.24;5.48;6.24;0.82;1;0.87;1.15;0.91;1;1;0.87;1.19;0.88;0.81;0.88;0.91;0.91;1;0.93;1;114280;18
10;3.72;5.07;1.41;4.38;6.24;0.82;1.14;1;1.15;0.81;1.29;1.17;0.87;1.19;0.76;0.81;0.88;0.85;0.91;1;1;1.14;23106;4
11;2.48;3.04;1.41;2.19;6.24;0.92;1;1;1;0.91;1;1;0.87;0.71;0.88;0.81;1;1;0.91;0.78;0.86;1;1369;1
12;4.96;3.04;4.24;2.19;4.68;0.92;0.9;1.17;1.07;1;1;1;0.87;1.19;0.88;0.81;0.88;1;0.91;0.78;0.86;1;1611;2.1
